Fecha de notificación;Nombre departamento;ID de caso
2/09/2020 0:00;AMAZONAS;1
4/09/2020 0:00;AMAZONAS;4
7/09/2020 0:00;AMAZONAS;1
12/09/2020 0:00;AMAZONAS;1
14/09/2020 0:00;AMAZONAS;3
18/09/2020 0:00;AMAZONAS;2
20/09/2020 0:00;AMAZONAS;1
21/09/2020 0:00;AMAZONAS;3
22/09/2020 0:00;AMAZONAS;2
23/09/2020 0:00;AMAZONAS;1
25/09/2020 0:00;AMAZONAS;1
28/09/2020 0:00;AMAZONAS;1
29/09/2020 0:00;AMAZONAS;1
2/10/2020 0:00;AMAZONAS;4
5/10/2020 0:00;AMAZONAS;10
6/10/2020 0:00;AMAZONAS;8
7/10/2020 0:00;AMAZONAS;2
8/10/2020 0:00;AMAZONAS;3
9/10/2020 0:00;AMAZONAS;3
13/10/2020 0:00;AMAZONAS;2
14/10/2020 0:00;AMAZONAS;15
15/10/2020 0:00;AMAZONAS;1
16/10/2020 0:00;AMAZONAS;3
17/10/2020 0:00;AMAZONAS;3
18/10/2020 0:00;AMAZONAS;6
19/10/2020 0:00;AMAZONAS;6
20/10/2020 0:00;AMAZONAS;2
21/10/2020 0:00;AMAZONAS;12
22/10/2020 0:00;AMAZONAS;4
23/10/2020 0:00;AMAZONAS;1
26/10/2020 0:00;AMAZONAS;13
27/10/2020 0:00;AMAZONAS;5
28/10/2020 0:00;AMAZONAS;11
29/10/2020 0:00;AMAZONAS;6
30/10/2020 0:00;AMAZONAS;9
31/10/2020 0:00;AMAZONAS;7
1/11/2020 0:00;AMAZONAS;2
2/11/2020 0:00;AMAZONAS;2
3/11/2020 0:00;AMAZONAS;17
4/11/2020 0:00;AMAZONAS;69
5/11/2020 0:00;AMAZONAS;7
6/11/2020 0:00;AMAZONAS;18
7/11/2020 0:00;AMAZONAS;2
8/11/2020 0:00;AMAZONAS;2
9/11/2020 0:00;AMAZONAS;14
10/11/2020 0:00;AMAZONAS;26
11/11/2020 0:00;AMAZONAS;8
13/11/2020 0:00;AMAZONAS;4
14/11/2020 0:00;AMAZONAS;1
18/11/2020 0:00;AMAZONAS;4
19/11/2020 0:00;AMAZONAS;2
20/11/2020 0:00;AMAZONAS;1
23/11/2020 0:00;AMAZONAS;4
24/11/2020 0:00;AMAZONAS;3
25/11/2020 0:00;AMAZONAS;1
26/11/2020 0:00;AMAZONAS;3
27/11/2020 0:00;AMAZONAS;1
28/11/2020 0:00;AMAZONAS;1
29/11/2020 0:00;AMAZONAS;2
30/11/2020 0:00;AMAZONAS;2
1/12/2020 0:00;AMAZONAS;3
